time,lat,lon,depth,mag
2012-05-01 22:43:12.350000+00:00,26.252,92.274,35.0,4.2
2012-05-01 21:36:36.890000+00:00,35.628,76.495,79.6,4.0
2012-05-01 19:59:22.760000+00:00,5.304,94.559,75.8,4.4
2012-05-01 14:30:43.850000+00:00,10.037,93.633,29.0,4.7
2012-04-30 22:56:10.010000+00:00,37.301,71.935,178.6,4.0
2012-04-30 13:06:58.740000+00:00,14.405,93.327,35.0,5.2
2012-04-28 01:42:55.830000+00:00,4.484,96.496,32.9,4.1
2012-04-27 05:49:30.360000+00:00,36.414,71.183,226.5,4.5
2012-04-26 05:54:52.590000+00:00,37.42,71.916,165.5,4.2
2012-04-25 22:49:58.630000+00:00,36.422,82.554,10.0,4.6
2012-04-25 18:42:31+00:00,8.657,93.879,10.0,4.3
2012-04-25 17:33:25.220000+00:00,11.61,92.482,10.0,4.3
2012-04-25 16:30:59.560000+00:00,8.826,93.882,22.9,5.1
2012-04-25 16:24:01.220000+00:00,9.11,93.35,10.0,4.0
2012-04-25 15:49:12.500000+00:00,8.947,93.676,10.0,4.4
2012-04-25 12:58:12.690000+00:00,8.832,93.898,10.0,4.4
2012-04-25 11:52:51.540000+00:00,8.81,93.869,10.0,4.3
2012-04-25 11:30:39.870000+00:00,9.19,93.572,10.0,4.5
2012-04-25 09:15:38.480000+00:00,8.982,94.117,10.0,4.1
2012-04-25 08:49:42.980000+00:00,8.971,94.048,10.0,4.5
2012-04-25 08:32:11.550000+00:00,8.897,93.918,10.0,4.2
2012-04-25 08:19:44.920000+00:00,8.952,93.963,10.0,4.3
2012-04-25 07:53:21.270000+00:00,8.945,93.906,11.6,5.3
2012-04-25 07:42:23.380000+00:00,9.011,93.945,9.0,5.7
2012-04-24 22:09:32.060000+00:00,8.802,93.902,4.2,4.5
2012-04-24 20:21:27.020000+00:00,37.024,71.404,100.4,4.0
2012-04-24 19:14:40.460000+00:00,8.855,93.931,15.3,4.8
2012-04-24 15:21:05.620000+00:00,8.84,93.84,21.3,4.5
2012-04-24 15:02:21.170000+00:00,9.032,93.987,10.0,4.6
2012-04-24 14:57:10.110000+00:00,8.868,93.949,14.1,5.5
2012-04-23 14:00:32.590000+00:00,37.124,69.707,40.6,4.0
2012-04-22 23:05:10.160000+00:00,7.801,93.946,45.6,4.8
2012-04-20 02:16:10.610000+00:00,7.48,91.807,35.0,4.2
2012-04-18 13:38:01.460000+00:00,4.377,94.799,54.2,4.0
2012-04-17 15:15:58.290000+00:00,36.527,70.13,211.6,4.6
2012-04-17 03:24:26.410000+00:00,5.373,94.621,60.0,5.1
2012-04-16 09:44:26.560000+00:00,8.097,98.481,10.0,3.9
2012-04-16 01:45:26.410000+00:00,10.398,92.952,82.5,4.3
2012-04-15 02:57:42.440000+00:00,37.71,72.378,125.4,4.2
2012-04-14 20:50:52.680000+00:00,34.189,79.768,30.1,4.0
2012-04-14 05:27:39.580000+00:00,17.247,73.601,10.0,4.4
2012-04-14 03:22:59.690000+00:00,23.239,70.439,10.0,4.0
2012-04-13 10:11:53.520000+00:00,25.244,94.983,85.1,4.5
2012-04-12 14:31:35+00:00,4.211,92.579,10.0,4.7
2012-04-12 08:56:29.400000+00:00,37.459,72.078,169.9,4.4
2012-04-12 00:30:00.350000+00:00,4.464,92.862,11.6,4.7
2012-04-11 15:07:19.870000+00:00,5.924,94.789,10.0,4.6
2012-04-11 14:32:17.270000+00:00,4.64,92.287,10.0,4.2
2012-04-11 13:15:30.070000+00:00,4.601,90.78,17.3,5.0
2012-04-10 08:25:54.640000+00:00,34.101,82.737,35.0,4.1
2012-04-10 08:08:38.280000+00:00,34.383,82.386,34.1,4.7
2012-04-10 01:42:34.770000+00:00,4.225,67.557,10.0,4.8
2012-04-08 15:11:48.530000+00:00,5.096,94.216,49.2,4.5
2012-04-08 15:03:31.440000+00:00,4.844,94.135,73.0,4.3
2012-04-05 05:45:37.010000+00:00,36.665,71.292,163.2,4.3
2012-04-03 18:07:04.260000+00:00,4.878,96.13,46.3,4.4
2012-04-02 15:30:09.310000+00:00,37.537,71.909,109.5,4.6
2012-03-31 21:42:48.400000+00:00,34.447,73.563,43.2,4.2
2012-03-31 12:46:20.770000+00:00,4.173,95.842,35.0,4.4
2012-03-31 12:38:44.180000+00:00,5.411,94.567,35.0,4.9
2012-03-31 04:16:55.530000+00:00,36.496,71.287,229.5,4.9
2012-03-30 23:14:12.300000+00:00,30.142,96.893,46.8,4.0
2012-03-30 22:02:11.960000+00:00,4.616,95.115,59.3,5.2
2012-03-29 00:23:21.690000+00:00,21.619,94.754,120.3,4.5
2012-03-29 00:19:14.560000+00:00,5.253,95.066,91.7,4.3
2012-03-28 18:31:38.950000+00:00,33.208,95.499,13.7,4.1
2012-03-28 18:26:22.310000+00:00,32.753,89.24,49.2,4.1
2012-03-28 13:45:18.150000+00:00,4.58,95.012,54.8,4.6
2012-03-28 03:19:24.870000+00:00,28.769,66.716,35.0,4.5
2012-03-28 00:39:49.880000+00:00,36.35,68.762,43.8,4.1
2012-03-27 23:40:12.600000+00:00,26.087,87.777,28.8,5.0
2012-03-27 21:54:54.380000+00:00,33.284,95.605,11.4,4.1
2012-03-27 15:49:48.650000+00:00,36.661,71.25,227.4,4.1
2012-03-27 01:18:33.810000+00:00,5.697,93.024,30.2,4.3
2012-03-25 12:38:54.280000+00:00,36.124,70.91,86.8,4.6
2012-03-25 10:06:17.620000+00:00,33.693,89.295,6.4,4.5
2012-03-23 19:16:55.320000+00:00,10.161,91.865,35.0,4.3
2012-03-23 07:48:27.620000+00:00,36.612,71.047,221.6,4.4
2012-03-22 12:54:28.090000+00:00,36.276,68.825,10.3,4.3
2012-03-21 09:46:50.610000+00:00,33.421,90.786,53.2,4.2
2012-03-20 10:18:52.030000+00:00,9.481,93.423,53.1,4.9
2012-03-20 05:44:18.860000+00:00,36.429,70.947,172.5,4.5
2012-03-19 20:36:21.310000+00:00,29.015,82.321,10.0,4.3
2012-03-19 17:46:02.200000+00:00,29.434,94.873,35.0,4.7
2012-03-19 03:09:18.390000+00:00,36.872,73.111,56.7,4.1
2012-03-19 01:55:57.960000+00:00,37.003,73.021,82.2,4.1
2012-03-18 02:56:13.390000+00:00,23.662,90.259,44.0,4.5
2012-03-17 20:50:04.800000+00:00,30.18,96.959,20.9,4.3
2012-03-17 08:41:50.090000+00:00,6.867,94.592,36.7,4.5
2012-03-16 17:11:06.040000+00:00,10.694,93.997,70.5,4.3
2012-03-16 07:07:23.310000+00:00,10.542,93.808,35.0,4.8
2012-03-16 05:58:16.980000+00:00,10.478,93.661,35.0,4.6
2012-03-16 04:57:03.740000+00:00,10.573,93.734,39.1,4.2
2012-03-15 20:46:35.020000+00:00,10.533,93.746,35.0,4.6
2012-03-15 20:45:56.400000+00:00,10.465,93.691,35.0,4.2
2012-03-15 17:03:34.970000+00:00,36.427,71.489,103.6,4.6
2012-03-15 15:10:17.560000+00:00,10.441,93.714,20.1,4.4
2012-03-15 14:56:00.590000+00:00,10.535,93.768,35.0,4.6
2012-03-15 14:39:09.120000+00:00,10.753,93.908,57.1,4.3
2012-03-15 09:22:11.920000+00:00,36.644,73.105,10.0,4.1
2012-03-15 08:18:38.610000+00:00,36.543,70.886,193.5,4.4
2012-03-14 20:48:30.920000+00:00,35.86,81.646,41.3,4.1
2012-03-14 17:41:10.140000+00:00,10.535,93.854,58.2,5.0
2012-03-14 17:01:50.650000+00:00,10.679,94.004,68.3,4.9
2012-03-14 15:40:21.300000+00:00,22.921,94.466,101.5,4.0
2012-03-14 15:39:03.070000+00:00,10.697,93.994,74.1,4.3
2012-03-13 09:28:37.120000+00:00,36.267,70.641,106.1,4.3
2012-03-12 14:05:15.330000+00:00,36.668,73.141,10.0,4.2
2012-03-12 14:02:09.700000+00:00,36.905,72.991,77.6,4.1
2012-03-12 12:59:09.830000+00:00,36.87,73.004,67.0,4.5
2012-03-12 08:37:50.740000+00:00,36.481,73.028,10.0,4.5
2012-03-12 08:26:07.170000+00:00,36.674,73.091,10.0,4.7
2012-03-12 07:37:54.990000+00:00,36.56,72.913,10.0,4.5
2012-03-12 06:47:33.350000+00:00,36.64,72.876,21.0,4.5
2012-03-12 06:21:25.300000+00:00,36.447,73.104,10.0,4.5
2012-03-12 06:06:40.640000+00:00,36.741,73.152,11.0,5.6
2012-03-10 20:58:09.150000+00:00,8.555,93.891,61.9,4.7
2012-03-10 18:06:29.910000+00:00,8.513,93.845,5.1,4.6
2012-03-10 12:18:29.480000+00:00,11.517,92.036,35.0,4.5
2012-03-09 00:28:40.970000+00:00,8.455,93.65,10.0,4.3
2012-03-08 01:02:13.880000+00:00,37.433,78.653,24.3,4.3
2012-03-07 13:18:23.400000+00:00,32.029,78.109,55.6,4.3
2012-03-07 07:23:46.840000+00:00,34.194,81.819,20.6,4.6
2012-03-06 02:59:25.970000+00:00,8.559,93.873,19.8,5.0
2012-03-06 02:52:41.960000+00:00,8.571,93.691,16.8,5.4
2012-03-05 07:41:04.530000+00:00,28.809,76.649,10.0,5.1
2012-03-05 06:55:30.780000+00:00,4.197,97.062,46.1,5.1
2012-03-04 23:40:47.220000+00:00,12.779,93.448,71.1,4.2
2012-03-03 03:52:13.560000+00:00,36.066,70.427,122.5,4.3
2012-03-02 17:12:33.630000+00:00,33.977,83.461,10.4,4.8
2012-03-02 12:11:33.280000+00:00,7.254,94.036,70.1,4.9
2012-03-01 17:52:43.870000+00:00,13.004,92.558,37.9,4.8
2012-03-01 17:25:48.650000+00:00,27.447,91.237,53.6,4.6
2012-02-28 20:55:46.610000+00:00,23.999,94.613,54.9,4.6
2012-02-27 05:19:03.980000+00:00,12.249,92.683,39.8,4.6
2012-02-26 23:08:47.640000+00:00,29.682,81.086,35.0,4.4
2012-02-26 06:08:24.990000+00:00,29.434,64.416,93.6,4.7
2012-02-22 12:02:45.510000+00:00,4.99,94.4,33.3,5.3
2012-02-21 19:55:41.790000+00:00,36.68,76.826,78.5,4.5
2012-02-20 14:18:03.820000+00:00,35.84,79.835,10.0,5.0
2012-02-20 13:59:23.790000+00:00,35.723,79.717,10.0,5.0
2012-02-20 13:52:34.490000+00:00,35.702,79.603,10.0,4.6
2012-02-20 08:05:02.810000+00:00,4.455,96.313,35.0,4.5
2012-02-18 08:46:50.580000+00:00,32.298,70.952,57.7,4.7
2012-02-17 15:44:23.230000+00:00,32.388,82.787,21.9,5.2
2012-02-17 04:01:30.610000+00:00,37.315,67.905,22.5,4.3
2012-02-16 04:07:20.770000+00:00,36.378,70.892,177.1,4.6
2012-02-15 18:31:53.650000+00:00,6.306,92.9,8.9,5.0
2012-02-15 15:36:47.630000+00:00,17.707,96.131,10.0,4.4
2012-02-13 06:03:32.930000+00:00,36.079,68.976,35.0,4.6
2012-02-10 19:10:01.850000+00:00,26.146,94.253,52.3,4.8
2012-02-10 15:45:17.090000+00:00,26.046,94.248,42.6,4.3
2012-02-09 19:17:30.550000+00:00,30.986,78.282,6.2,5.1
2012-02-06 23:16:53.560000+00:00,13.645,93.027,35.0,4.8
